staff_id,name,date,hours,rate,work_type
D37626,LEE TAK WAH,2026-02-12,11.8,2200,Electrical
D31667,NG AI MENG,2026-02-26,11.5,800,Finishing
D33307,CHEUNG CHI SHING,2026-02-11,11.9,800,Structural
D19180,LI YUK CHING,2026-02-11,6.9,1800,Finishing
D84732,MA AI NGOR,2026-02-14,10.5,1800,Structural
D40550,WONG AI MEI,2026-02-16,10.5,1500,Finishing
D50922,LI MAN KIU,2026-02-24,11.0,2200,Electrical
D60959,KWOK AI MENG,2026-02-26,10.3,1000,Finishing
D82028,LAU KONG,2026-02-03,8.6,1500,Structural
D33380,LAU KONG,2026-02-19,10.5,2200,Structural
D20032,LI MAN TAO,2026-02-19,11.0,1800,Electrical
D50438,FONG AI SUM,2026-02-10,6.3,1800,Mechanical
D20878,MA KIN LEUNG,2026-02-09,11.2,800,Electrical
D49067,POON WAI YEE,2026-02-05,10.7,800,Electrical
D99713,HO MAN SHUN,2026-02-12,10.4,800,Structural
D10108,WONG KAM CHU,2026-02-17,6.6,1500,Mechanical
D76590,LAU KONG,2026-02-13,9.8,2200,Structural
D65440,CHAN WAI CHUNG,2026-02-20,8.4,1000,Structural
D34187,WONG AI MEI,2026-02-04,7.5,1200,Finishing
D41981,LI MAN KIU,2026-02-12,9.1,800,Mechanical
D48405,CHAN WAI KIN,2026-02-16,11.2,1500,Mechanical
D96429,LAM KIN YIP,2026-02-19,8.2,1200,Finishing
D16116,NG AI MENG,2026-02-17,12.0,1500,Structural
D36257,CHAN HANG HEI,2026-02-16,6.6,1800,Electrical
D30988,CHEN MAN SHUN,2026-02-01,7.3,1200,Structural
D66615,LAM AI MEI,2026-02-13,6.0,800,Structural
D12891,CHEUNG KONG,2026-02-15,9.9,800,Structural
D64757,LAM MAN KIU,2026-02-01,10.0,800,Mechanical
D46279,NG AI MENG,2026-02-11,8.2,2200,Mechanical
D29882,CHEUNG CHI SHING,2026-02-10,7.1,1200,Mechanical
D32473,IP WAI SUM,2026-02-19,10.2,1000,Electrical
D36372,LI MAN TAO,2026-02-02,9.5,2200,Structural
D81983,CHEN KONG,2026-02-16,11.9,1000,Finishing
D55178,FONG AI SUM,2026-02-16,9.0,1500,Structural
D71674,LEUNG MAN CHU,2026-02-10,10.2,2200,Electrical
D47904,POON WAI YEE,2026-02-04,6.6,1500,Finishing
D60108,CHEUNG AI NGOR,2026-02-10,7.5,2200,Structural
D33769,LEUNG WAI CHAN,2026-02-27,7.2,1000,Electrical
D50849,NG AI MENG,2026-02-11,10.3,1500,Mechanical
D37402,FONG YUK NAM,2026-02-25,8.6,1800,Electrical
D19913,WONG AI MEI,2026-02-28,8.7,1800,Mechanical
D44867,WONG CHI SUM,2026-02-21,7.5,2200,Electrical
D51246,MA AI NGOR,2026-02-22,10.1,2200,Finishing
D62278,FONG AI SUM,2026-02-13,7.3,2200,Mechanical
D62118,LEUNG WAI CHAN,2026-02-15,9.1,1800,Electrical
D94331,NG WAI CHUNG,2026-02-11,6.0,1200,Electrical
D33980,CHAN MAN TAO,2026-02-18,8.6,800,Structural
D97812,KWOK KIN LEUNG,2026-02-08,10.2,2200,Finishing
D94288,HO YUK CHING,2026-02-04,9.4,1200,Mechanical
D65075,LAM AI MEI,2026-02-16,9.4,2200,Electrical
D93010,CHAN WAI KIN,2026-02-14,10.4,1200,Structural
D34893,LEUNG MAN CHU,2026-02-07,7.9,2200,Structural
D76066,KWOK SIU HUNG,2026-02-08,8.4,1200,Mechanical
D50839,CHEUNG AI NGOR,2026-02-15,11.2,1000,Mechanical
D75537,FONG AI SUM,2026-02-02,8.6,1800,Electrical
D67270,CHAN HANG HEI,2026-02-18,8.3,800,Finishing
D53599,WONG KAM CHU,2026-02-28,9.6,1000,Mechanical
D57757,FONG HANG HEI,2026-02-25,11.9,2200,Finishing
D71542,LAM KIN YIP,2026-02-16,7.4,1200,Mechanical
D95143,KWOK KIN LEUNG,2026-02-06,6.3,1800,Finishing
D21837,LEE TAK WAH,2026-02-12,9.6,1500,Mechanical
D12033,LI MAN TAO,2026-02-09,6.1,1800,Finishing
D99004,WONG KAM CHU,2026-02-23,8.7,1200,Electrical
D14853,LAM MAN KIU,2026-02-23,10.4,800,Mechanical
D59422,LI YUK CHING,2026-02-10,7.7,1200,Mechanical
D46118,IP WAI SUM,2026-02-01,6.5,1500,Structural
D99725,NG AI MENG,2026-02-21,10.9,1500,Mechanical
D57343,IP KIN YIP,2026-02-25,6.8,1000,Electrical
D56631,POON SIU HUNG,2026-02-23,7.0,2200,Mechanical
D19177,LAU LOK CHI,2026-02-07,11.7,2200,Finishing
D67205,POON WAI YEE,2026-02-19,11.4,1500,Electrical
D32063,POON SIU HUNG,2026-02-27,8.7,2200,Electrical
D39979,LEUNG WAI CHAN,2026-02-09,6.3,1000,Finishing
D38207,CHEUNG AI NGOR,2026-02-15,8.7,1000,Mechanical
D36400,POON WAI YEE,2026-02-22,6.9,1500,Electrical
D30556,POON SIU HUNG,2026-02-05,8.2,1800,Structural
D36691,CHEN MAN SHUN,2026-02-16,7.3,800,Electrical
D36244,POON MAN TAO,2026-02-03,11.3,1500,Finishing
D39346,CHEUNG CHI SHING,2026-02-06,9.5,1800,Finishing
D37166,LEE TAK WAH,2026-02-23,10.2,2200,Electrical
D34998,WONG CHI SUM,2026-02-13,8.3,1200,Structural
D35177,CHEN AI MEI,2026-02-21,8.1,800,Structural
D31025,CHAN WAI CHUNG,2026-02-23,8.4,1500,Finishing
D33738,KWOK AI MENG,2026-02-28,10.0,800,Electrical
D38859,LI MAN KIU,2026-02-02,12.0,800,Structural
D31975,IP WAI SUM,2026-02-15,9.2,1800,Finishing
D33518,POON WAI YEE,2026-02-05,9.2,800,Finishing
D33554,NG HAU CHI,2026-02-25,7.7,1500,Finishing
D36078,FONG HANG HEI,2026-02-16,7.8,2200,Mechanical
D37698,CHAN WAI CHUNG,2026-02-14,11.2,1000,Electrical
D38258,LAU CHI SUM,2026-02-08,9.1,2200,Structural
D32211,WONG KAM CHU,2026-02-11,6.9,1800,Mechanical
D35835,FONG HANG HEI,2026-02-19,8.2,1200,Structural
D38374,KWOK KIN LEUNG,2026-02-16,9.9,1500,Electrical
D39441,IP WAI SUM,2026-02-02,7.0,800,Structural
D32338,WONG AI MEI,2026-02-08,8.9,1800,Mechanical
