staff_id,name,role,rate,nationality,fdh_permit,department,join_date
D13878,CHAN WAI CHUNG,Plumber,1004,MY,,Finishing,2024-03-02
D70208,LEUNG WAI CHAN,Crane Operator,1924,TH,FDH-98685,Electrical,2024-02-05
D27280,MA AI NGOR,Rigger,1558,HK,,Finishing,2023-09-12
D44448,IP YUK CHAN,Rigger,1242,CN,FDH-81323,Electrical,2024-10-27
D60853,LEE TAK WAH,Tower Crane Op,1997,IN,FDH-72978,Mechanical,2023-11-18
D65566,WONG AI MEI,Plumber,1362,CN,FDH-20931,Finishing,2025-11-19
D59814,IP WAI SUM,Steel Fixer,1317,NP,,Finishing,2023-08-22
D50216,LEUNG MAN CHU,Foreman,1542,NP,FDH-11493,Electrical,2024-12-12
D54492,NG AI MENG,Foreman,1544,HK,FDH-80564,Structural,2023-05-24
D29323,LAU KONG,Steel Fixer,1147,PK,FDH-72848,Mechanical,2024-09-14
D70780,LI MAN TAO,Crane Operator,1909,CN,FDH-54838,Electrical,2024-12-12
D37888,CHAN WAI KIN,Foreman,1610,PH,FDH-35590,Structural,2024-10-30
D20683,CHEUNG CHI SHING,Scaffolder,1312,MY,FDH-13957,Finishing,2024-12-04
D65128,NG AI MENG,Rigger,1367,IN,FDH-95904,Structural,2023-08-11
D70701,KWOK KIN LEUNG,Electrician,1116,BD,FDH-33575,Mechanical,2025-08-04
D39761,MA KIN LEUNG,Foreman,1628,PK,,Finishing,2024-04-22
D13917,FONG HANG HEI,Welder,1214,PK,,Mechanical,2024-01-18
D72283,LI MAN TAO,General Builder,838,HK,FDH-85930,Mechanical,2024-04-29
D61206,CHAN MAN TAO,Labourer,930,MY,FDH-58173,Electrical,2024-07-18
D41715,WONG HAU CHI,Scaffolder,1381,HK,FDH-71126,Mechanical,2023-10-30
D37233,CHAN WAI CHUNG,Concreter,965,PH,FDH-51808,Electrical,2023-09-19
D45845,CHEN KONG,Steel Fixer,1462,CN,FDH-77057,Structural,2025-11-14
D76427,IP YUK CHAN,Concreter,1034,NP,FDH-19345,Mechanical,2024-06-27
D68388,LEUNG WAI YEE,Trade Worker,986,CN,FDH-39652,Mechanical,2025-02-19
D31111,FONG YUK NAM,Crane Operator,1708,CN,FDH-24791,Mechanical,2024-12-18
D77107,CHAN WAI KIN,Crane Operator,2125,TH,FDH-15312,Structural,2025-03-31
D50401,IP WAI SUM,Trade Worker,1042,MY,FDH-11913,Structural,2023-06-04
D45019,WONG HAU CHI,Foreman,1541,PH,FDH-88214,Structural,2025-04-14
D76982,CHEN MAN SHUN,Labourer,783,CN,FDH-63419,Mechanical,2023-11-29
D17896,WONG AI MEI,Steel Fixer,1120,TH,FDH-19379,Electrical,2023-08-28
D65367,MA KIN LEUNG,Concreter,1130,PH,FDH-24911,Structural,2025-11-27
D65963,HO MAN SHUN,Trade Worker,1231,BD,FDH-37025,Electrical,2025-11-18
D83560,NG AI MENG,Supervisor,1369,VN,FDH-14725,Structural,2025-08-06
D38309,NG HAU CHI,Tower Crane Op,1968,VN,,Mechanical,2025-09-06
D21374,LEUNG WAI YEE,Trade Worker,1024,IN,,Mechanical,2023-10-20
D31362,CHEUNG KONG,Scaffolder,1197,BD,FDH-79310,Mechanical,2023-12-30
D15379,LI HAU WAN,Steel Fixer,1166,PK,FDH-63623,Mechanical,2023-09-12
D21009,HO YUK CHING,Steel Fixer,1372,PK,FDH-96077,Mechanical,2024-01-31
D96720,WONG AI MEI,Concreter,1368,NP,,Structural,2023-07-27
D25347,CHAN WAI CHUNG,Tower Crane Op,1694,NP,FDH-68387,Structural,2023-10-26
D81277,CHAN WAI CHUNG,Skilled Labour,1064,PK,FDH-71063,Structural,2024-08-17
D92312,WONG AI MEI,Safety Officer,1338,CN,FDH-20957,Structural,2023-12-13
D62274,WONG HAU CHI,Skilled Labour,1091,MY,FDH-68319,Electrical,2023-10-23
D86282,HO MAN SHUN,Plumber,1049,PH,FDH-67733,Finishing,2025-05-08
D34171,CHEUNG KONG,Skilled Labour,937,VN,FDH-60783,Mechanical,2024-04-18
D49285,HO MAN SHUN,General Builder,816,HK,FDH-83161,Finishing,2024-01-27
D45134,HO WAI CHAN,Electrician,1570,CN,FDH-34848,Finishing,2025-04-28
D11862,WONG AI MEI,Steel Fixer,1170,NP,,Structural,2025-01-01
D37852,HO MAN SHUN,Trade Worker,922,MY,FDH-96894,Electrical,2023-07-24
D89108,KWOK SIU HUNG,General Builder,1115,PH,FDH-97612,Structural,2025-05-23
D36361,MA KIN LEUNG,Trade Worker,1038,BD,FDH-26468,Finishing,2023-09-03
D57736,CHEUNG CHI SHING,Rigger,1558,BD,FDH-29929,Structural,2023-07-15
D74789,CHEUNG KONG,General Builder,1157,PK,FDH-18976,Finishing,2023-10-16
D48203,LI HAU WAN,Electrician,1329,VN,FDH-91730,Finishing,2023-05-29
D92812,MA AI NGOR,General Builder,962,PH,FDH-23307,Structural,2024-07-15
D66703,WONG CHI SUM,Steel Fixer,1079,IN,FDH-95268,Structural,2025-11-30
D55594,MA KIN LEUNG,Foreman,1765,TH,FDH-20749,Finishing,2023-09-04
D25666,WONG HAU CHI,Crane Operator,1716,NP,FDH-88245,Electrical,2024-01-14
D93430,CHEN AI MEI,Rigger,1543,MY,FDH-87641,Mechanical,2023-10-09
D94242,WONG HAU CHI,Concreter,1097,VN,FDH-79694,Mechanical,2025-06-16
D86513,FONG HANG HEI,Plumber,1229,MY,,Electrical,2024-11-14
D78503,POON SIU HUNG,Scaffolder,1029,VN,FDH-86176,Mechanical,2025-02-08
D76889,LI HAU WAN,General Builder,841,CN,FDH-78226,Mechanical,2025-05-01
D68982,LAM AI MEI,Skilled Labour,1225,NP,,Structural,2025-04-30
D88431,POON WAI YEE,Safety Officer,1498,BD,FDH-23720,Structural,2025-04-04
D40222,LEUNG MAN CHU,Rigger,1551,TH,FDH-92752,Mechanical,2023-05-23
D64037,CHEUNG AI NGOR,Tower Crane Op,1738,VN,,Mechanical,2023-12-16
D37807,WONG AI MEI,Tower Crane Op,1699,HK,,Finishing,2024-03-19
D16131,POON MAN TAO,Trade Worker,854,VN,FDH-90037,Structural,2023-07-18
D50039,POON MAN TAO,Trade Worker,1079,PH,,Electrical,2025-01-14
D23199,WONG CHI SUM,Skilled Labour,1052,NP,FDH-57905,Finishing,2024-05-14
D93192,LI MAN TAO,Electrician,1658,IN,,Structural,2025-08-26
D37486,HO MAN SHUN,Skilled Labour,1108,NP,FDH-52270,Structural,2025-12-27
D10428,NG AI MENG,Trade Worker,954,HK,,Mechanical,2024-02-17
D14139,CHEUNG CHI SHING,Concreter,1043,CN,FDH-50067,Electrical,2024-12-27
D47480,LI MAN TAO,Supervisor,1573,TH,FDH-67461,Finishing,2026-01-02
D53491,NG HAU CHI,Plumber,1594,PK,FDH-42187,Finishing,2024-06-04
D59804,IP KIN YIP,Plumber,1375,TH,FDH-78208,Finishing,2024-08-27
D53013,POON MAN TAO,Labourer,770,CN,FDH-88884,Electrical,2024-05-03
D49922,LAU CHI SUM,Supervisor,1353,TH,FDH-31844,Mechanical,2024-10-16
D45946,LI HAU WAN,Tower Crane Op,2090,TH,,Electrical,2025-03-01
D36051,LAM MAN KIU,Foreman,1695,BD,,Mechanical,2023-10-17
D95555,LEUNG MAN CHU,Welder,1359,PH,,Mechanical,2025-08-11
D90297,MA KIN LEUNG,General Builder,934,PH,FDH-81661,Structural,2025-08-21
D64955,CHEN KONG,Crane Operator,1557,NP,FDH-88177,Mechanical,2025-06-17
D74047,CHAN WAI CHUNG,Steel Fixer,1199,BD,FDH-55918,Mechanical,2025-02-03
D67296,NG AI MENG,Steel Fixer,1327,IN,FDH-20138,Structural,2024-11-10
D67367,HO YUK CHING,Supervisor,1568,NP,FDH-47646,Structural,2024-03-12
D18449,MA HAU CHI,Concreter,910,PH,FDH-83631,Electrical,2023-10-04
D70713,CHEUNG KONG,Safety Officer,1270,PH,FDH-36728,Structural,2024-02-28
D97427,CHAN WAI CHUNG,Rigger,1186,VN,FDH-40878,Mechanical,2023-07-18
D60933,LI HAU WAN,Trade Worker,988,MY,FDH-41369,Structural,2025-03-17
D89487,CHAN HANG HEI,Plumber,1012,CN,FDH-96766,Structural,2025-03-25
D97697,KWOK SIU HUNG,Foreman,1767,BD,FDH-25606,Electrical,2023-10-15
D21374,IP WAI SUM,Supervisor,1306,BD,FDH-65282,Structural,2024-06-08
D52124,POON MAN TAO,Labourer,805,IN,FDH-24263,Electrical,2024-03-16
D78870,HO WAI CHAN,Plumber,1287,VN,FDH-18903,Structural,2023-06-19
D34169,LI YUK CHING,Plumber,1072,TH,FDH-35617,Structural,2023-06-07
D71207,LEUNG WAI CHAN,Tower Crane Op,1946,HK,FDH-63236,Mechanical,2023-11-05
D30989,CHAN HANG HEI,Plumber,1519,PH,FDH-72706,Finishing,2024-05-02
D93232,IP YUK CHAN,General Builder,825,IN,FDH-11204,Electrical,2026-01-05
D28328,CHEUNG AI NGOR,Steel Fixer,1043,PH,FDH-46200,Electrical,2024-10-25
D29746,HO MAN SHUN,Rigger,1598,CN,,Structural,2025-02-03
D90429,CHEN KONG,Tower Crane Op,2077,IN,FDH-62985,Structural,2025-10-27
D55611,CHEN MAN SHUN,Welder,1169,BD,FDH-28475,Mechanical,2024-10-15
D46232,CHAN MAN TAO,Scaffolder,1050,BD,FDH-33947,Electrical,2024-09-21
D59284,LAU LOK CHI,Supervisor,1522,IN,FDH-99500,Electrical,2024-04-06
D58486,FONG AI SUM,Trade Worker,962,PH,FDH-26965,Finishing,2023-05-23
D33199,MA KIN LEUNG,Plumber,1296,BD,,Structural,2025-07-01
D73993,IP YUK CHAN,Labourer,846,HK,FDH-54047,Mechanical,2025-11-21
D44020,NG AI MENG,Supervisor,1721,PH,FDH-55203,Finishing,2025-08-08
D27080,LEUNG MAN CHU,Crane Operator,1590,HK,FDH-33085,Finishing,2024-04-23
D69297,KWOK KIN LEUNG,Trade Worker,970,CN,FDH-71792,Finishing,2025-01-02
D97011,WONG HAU CHI,Safety Officer,1516,HK,,Structural,2024-09-19
D46740,HO WAI CHAN,Safety Officer,1553,CN,FDH-15346,Mechanical,2024-10-24
D62435,HO MAN SHUN,Plumber,1334,VN,FDH-62040,Finishing,2023-09-23
D98126,IP WAI SUM,Scaffolder,1098,IN,FDH-84693,Structural,2025-02-14
D55649,LAM AI MEI,Tower Crane Op,1904,VN,FDH-26038,Mechanical,2024-04-27
D86383,POON SIU HUNG,Welder,1444,BD,FDH-47980,Mechanical,2025-01-17
D20291,CHEUNG CHI SHING,Supervisor,1404,VN,FDH-28917,Electrical,2024-12-11
D43040,CHAN HANG HEI,Welder,1156,HK,,Mechanical,2023-11-13
D83393,LEUNG WAI YEE,Supervisor,1838,IN,FDH-69733,Mechanical,2024-10-02
D14950,FONG YUK NAM,Supervisor,1764,CN,FDH-97178,Finishing,2024-01-13
D42575,LEUNG WAI CHAN,Scaffolder,1209,PH,FDH-67599,Structural,2024-03-09
D70385,MA HAU CHI,Scaffolder,1211,HK,FDH-25372,Electrical,2025-11-10
D79941,CHEUNG AI NGOR,Supervisor,1564,BD,FDH-45554,Structural,2025-10-22
D27844,LAM KIN YIP,Electrician,1122,TH,FDH-80732,Structural,2025-10-19
D74295,LAU CHI SUM,Skilled Labour,1269,BD,,Structural,2024-06-23
D40610,LAU KONG,Scaffolder,1050,CN,FDH-79412,Mechanical,2024-05-20
D46942,LEUNG WAI CHAN,Skilled Labour,1124,MY,,Finishing,2025-11-02
D19078,LI YUK CHING,Concreter,1029,TH,FDH-59202,Electrical,2024-11-13
D20892,NG WAI CHUNG,Electrician,1463,TH,FDH-96784,Mechanical,2024-01-20
D33608,CHEN MAN SHUN,General Builder,1107,MY,FDH-69848,Electrical,2024-01-28
D87261,MA KIN LEUNG,Safety Officer,1770,BD,FDH-28383,Electrical,2023-10-07
D42921,WONG KAM CHU,Plumber,1096,IN,FDH-18702,Mechanical,2025-06-18
D65040,LAM MAN KIU,Concreter,972,MY,FDH-85991,Structural,2025-03-09
D38853,CHEN MAN SHUN,Tower Crane Op,2034,IN,,Mechanical,2023-09-02
D93058,LEUNG MAN CHU,Welder,1273,CN,FDH-44255,Electrical,2024-03-29
D98821,LAU LOK CHI,Crane Operator,2166,BD,FDH-25959,Finishing,2025-09-12
D94768,CHEN KONG,Concreter,1039,CN,FDH-42659,Mechanical,2023-11-15
D84979,LEUNG WAI CHAN,Electrician,1327,MY,FDH-13824,Mechanical,2024-01-25
D62591,IP KIN YIP,Electrician,1399,TH,,Finishing,2024-04-24
D71285,LAM MAN KIU,Concreter,972,MY,FDH-91534,Mechanical,2023-11-11
D68677,LEUNG WAI CHAN,Plumber,1282,PK,FDH-65111,Electrical,2023-11-25
D75580,KWOK KIN LEUNG,Electrician,1294,HK,FDH-31883,Electrical,2025-04-18
D36092,POON SIU HUNG,Supervisor,1403,PH,FDH-34595,Electrical,2024-11-14
D92477,KWOK AI MENG,General Builder,1023,CN,,Finishing,2023-08-23
D93534,CHEN MAN SHUN,Skilled Labour,1156,NP,,Mechanical,2024-09-03
D58264,KWOK AI MENG,Safety Officer,1691,NP,FDH-34596,Finishing,2023-08-08
D62765,CHEUNG KONG,Steel Fixer,1064,NP,FDH-31368,Electrical,2024-02-07
D14507,WONG AI MEI,Concreter,1252,VN,FDH-42606,Structural,2025-11-14
D64938,POON MAN TAO,General Builder,888,VN,FDH-98281,Finishing,2023-06-10
D25442,CHEN AI MEI,Electrician,1288,HK,FDH-18902,Electrical,2024-07-28
D23156,LEUNG WAI CHAN,Rigger,1344,VN,,Structural,2025-12-20
D79078,HO YUK CHING,Labourer,882,VN,,Electrical,2024-08-09
D95269,CHEN AI MEI,Concreter,1201,IN,FDH-86951,Electrical,2023-12-04
D12642,LEUNG WAI CHAN,Rigger,1200,MY,,Finishing,2023-12-30
D22234,CHEUNG AI NGOR,Skilled Labour,911,PK,FDH-82861,Mechanical,2024-01-28
D86887,WONG AI MEI,Crane Operator,1581,TH,FDH-96181,Structural,2025-06-19
D60774,LEE TAK WAH,Electrician,1530,VN,,Finishing,2024-09-21
D29859,KWOK AI MENG,General Builder,1025,CN,,Electrical,2023-11-27
D22213,CHAN MAN TAO,Safety Officer,1774,HK,FDH-99127,Structural,2024-11-27
D27911,MA KIN LEUNG,Concreter,972,TH,FDH-89510,Finishing,2023-07-03
D96520,CHAN MAN TAO,Steel Fixer,1292,NP,,Finishing,2024-06-27
D80018,LEUNG MAN CHU,Rigger,1238,HK,FDH-95549,Structural,2024-08-19
D16256,LAU CHI SUM,General Builder,935,IN,,Structural,2025-11-02
D61149,NG AI MENG,Plumber,1120,HK,FDH-11891,Mechanical,2023-12-30
D38256,MA HAU CHI,Labourer,832,PK,FDH-26787,Finishing,2023-08-12
D13779,CHAN MAN TAO,Welder,1274,HK,,Mechanical,2024-03-09
D13267,CHEUNG KONG,Tower Crane Op,1703,CN,FDH-35117,Mechanical,2025-05-03
D59887,NG AI MENG,Safety Officer,1580,CN,FDH-26337,Structural,2024-04-24
D40104,MA KIN LEUNG,Supervisor,1388,NP,FDH-70458,Mechanical,2025-09-15
D33711,NG WAI CHUNG,Concreter,1382,PH,FDH-52283,Electrical,2024-10-09
D31976,WONG HAU CHI,Safety Officer,1325,MY,FDH-35669,Structural,2024-02-21
D21022,CHEUNG AI NGOR,Welder,1091,CN,FDH-72065,Structural,2025-02-22
D16929,POON SIU HUNG,Welder,1272,MY,,Structural,2025-07-19
D96899,LAU LOK CHI,Electrician,1345,TH,FDH-27019,Mechanical,2025-11-13
D10232,NG HAU CHI,Rigger,1467,HK,FDH-61671,Mechanical,2024-09-04
D33975,LI YUK CHING,Electrician,1172,BD,FDH-50721,Mechanical,2025-09-24
D30136,CHEN KONG,Crane Operator,1677,TH,FDH-31622,Structural,2023-12-05
D71964,LEUNG WAI CHAN,Plumber,1075,VN,FDH-16028,Finishing,2023-06-23
D93796,LAU LOK CHI,Concreter,912,PK,FDH-83082,Finishing,2023-10-26
D13553,MA HAU CHI,Scaffolder,1111,VN,FDH-67083,Electrical,2023-07-13
D47181,LI MAN TAO,Supervisor,1731,IN,FDH-30228,Mechanical,2023-10-04
D36083,WONG CHI SUM,Electrician,1496,BD,,Structural,2024-12-23
D25165,CHAN WAI KIN,Trade Worker,1066,HK,FDH-71305,Structural,2025-05-08
D83836,CHAN WAI KIN,Labourer,810,HK,,Finishing,2025-03-29
D37548,LI HAU WAN,Trade Worker,1117,NP,FDH-96474,Electrical,2024-07-10
D86101,CHEUNG AI NGOR,Skilled Labour,938,HK,FDH-36521,Structural,2024-06-14
D27578,LAM AI MEI,Supervisor,1663,CN,FDH-67044,Mechanical,2023-06-04
D95552,CHAN WAI CHUNG,Electrician,1540,MY,FDH-10789,Mechanical,2025-01-25
D55716,LI HAU WAN,Concreter,1063,VN,FDH-76907,Finishing,2025-12-05
D83570,LAM AI MEI,Skilled Labour,1073,MY,FDH-60454,Finishing,2024-01-03
D12697,CHAN WAI CHUNG,Tower Crane Op,2109,MY,FDH-67858,Finishing,2024-10-11
D53452,CHEN KONG,Crane Operator,1704,NP,FDH-68959,Electrical,2024-01-19
D21450,IP KIN YIP,Steel Fixer,1402,PH,FDH-86515,Finishing,2024-05-21
D34184,HO YUK CHING,Safety Officer,1735,IN,FDH-23165,Electrical,2025-11-15
D43677,NG AI MENG,Tower Crane Op,1953,CN,FDH-13770,Mechanical,2024-08-02
D99798,LI YUK CHING,Safety Officer,1764,IN,,Mechanical,2025-05-26
D38729,CHEN KONG,Plumber,1555,PK,FDH-36991,Structural,2025-01-29
D33938,LAU CHI SUM,Plumber,1419,BD,FDH-13759,Structural,2023-11-19
D71600,NG AI MENG,Foreman,1848,MY,FDH-34781,Structural,2025-11-17
D19852,CHEN AI MEI,Crane Operator,1794,VN,FDH-49441,Finishing,2023-11-13
D78020,IP WAI SUM,Labourer,781,VN,,Finishing,2024-03-07
D76104,CHEN KONG,Labourer,785,TH,FDH-66860,Finishing,2025-08-23
D76909,LAU KONG,Crane Operator,2186,IN,FDH-11828,Mechanical,2024-02-04
D65854,CHEUNG CHI SHING,Supervisor,1408,PK,FDH-78824,Mechanical,2024-08-24
D71061,LAU CHI SUM,Scaffolder,986,TH,,Finishing,2023-05-29
D25948,MA HAU CHI,Crane Operator,1940,VN,FDH-79032,Finishing,2024-02-10
D63131,LEUNG MAN CHU,Plumber,1514,IN,,Electrical,2023-11-04
D26386,KWOK SIU HUNG,Steel Fixer,1024,BD,FDH-69836,Structural,2025-06-19
D83377,KWOK KIN LEUNG,Electrician,1195,MY,FDH-97430,Structural,2024-02-23
D17350,CHEN AI MEI,Foreman,1485,NP,FDH-34851,Mechanical,2024-04-06
D16853,HO WAI CHAN,Rigger,1565,BD,FDH-93257,Structural,2024-07-15
D54886,LEUNG MAN CHU,Tower Crane Op,2222,NP,FDH-90470,Mechanical,2024-11-05
D20627,FONG YUK NAM,Steel Fixer,1261,MY,FDH-95834,Mechanical,2024-09-05
D24264,LAM KIN YIP,Labourer,847,VN,,Electrical,2024-02-06
D96647,NG AI MENG,Plumber,1589,PK,FDH-27228,Electrical,2023-08-02
D81129,MA KIN LEUNG,Concreter,1346,CN,FDH-95462,Mechanical,2025-04-13
D37143,LAM MAN KIU,Electrician,1232,CN,FDH-42804,Structural,2024-08-21
D43386,CHAN HANG HEI,Rigger,1445,NP,FDH-32676,Mechanical,2024-12-11
D98522,HO MAN SHUN,Scaffolder,1034,IN,,Finishing,2024-05-29
D33228,CHEN MAN SHUN,Tower Crane Op,1612,VN,FDH-55931,Finishing,2024-04-15
D27739,LEUNG WAI CHAN,Plumber,1174,BD,FDH-56132,Electrical,2025-03-04
D62431,LEUNG MAN CHU,Crane Operator,1806,NP,FDH-55049,Structural,2023-09-07
D45982,KWOK AI MENG,Concreter,1066,PK,FDH-60159,Mechanical,2024-05-14
D35526,LAM AI MEI,Supervisor,1782,PH,,Electrical,2023-11-14
D75314,CHEUNG KONG,Welder,1209,NP,FDH-30203,Mechanical,2023-09-08
D76074,POON MAN TAO,Safety Officer,1545,PH,,Structural,2024-06-08
D45127,CHEN AI MEI,Rigger,1350,PH,FDH-96793,Finishing,2025-08-13
D61529,POON WAI YEE,Supervisor,1636,PH,,Finishing,2025-08-27
D46781,HO YUK CHING,General Builder,845,TH,FDH-91313,Electrical,2023-12-21
D66666,MA HAU CHI,Welder,1276,PK,FDH-69454,Structural,2023-06-30
D35998,HO MAN SHUN,Plumber,1427,TH,FDH-44138,Finishing,2025-07-24
D24900,NG AI MENG,Crane Operator,2098,PK,FDH-34495,Structural,2025-09-02
D97008,LI YUK CHING,Scaffolder,1174,IN,FDH-33355,Finishing,2025-06-30
D45673,HO YUK CHING,Concreter,995,MY,FDH-18924,Mechanical,2023-05-16
D67050,IP KIN YIP,Concreter,1264,PH,FDH-35915,Mechanical,2024-06-09
D67094,WONG AI MEI,Rigger,1403,BD,FDH-36566,Electrical,2025-04-14
D10941,WONG HAU CHI,Scaffolder,1035,NP,FDH-34047,Finishing,2024-07-24
D61313,CHEN KONG,Safety Officer,1596,PH,FDH-22979,Mechanical,2025-11-09
D11901,CHEN KONG,Supervisor,1899,IN,FDH-18180,Finishing,2025-03-20
D45882,KWOK KIN LEUNG,Electrician,1106,PK,FDH-88160,Structural,2023-11-19
D45942,KWOK SIU HUNG,Skilled Labour,1241,BD,,Electrical,2025-01-30
D13497,FONG HANG HEI,Plumber,1447,MY,FDH-35788,Mechanical,2025-12-09
D87508,KWOK AI MENG,Skilled Labour,1247,PH,,Finishing,2025-02-12
D74614,LI MAN TAO,Scaffolder,1249,TH,FDH-72494,Finishing,2024-12-08
D19670,KWOK SIU HUNG,Scaffolder,1393,BD,FDH-54654,Mechanical,2025-12-13
D43117,WONG HAU CHI,Steel Fixer,1194,TH,FDH-62506,Structural,2023-12-03
D10140,NG WAI CHUNG,Skilled Labour,1041,MY,,Electrical,2023-05-28
D20447,CHAN WAI CHUNG,Plumber,1308,VN,FDH-62947,Finishing,2025-12-22
D70572,WONG KAM CHU,Trade Worker,910,CN,FDH-53571,Structural,2024-11-15
D72210,CHEUNG AI NGOR,Welder,1108,HK,FDH-56048,Structural,2024-03-14
D63368,CHAN MAN TAO,Labourer,740,PK,FDH-38269,Electrical,2024-02-04
D78894,IP YUK CHAN,Plumber,1039,IN,,Finishing,2024-11-05
D18229,NG AI MENG,Crane Operator,2140,PK,FDH-90211,Mechanical,2024-09-10
D43486,CHEUNG KONG,Safety Officer,1639,HK,FDH-22002,Finishing,2024-09-26
D13053,LI YUK CHING,Foreman,1730,PH,FDH-96080,Finishing,2025-07-22
D50420,NG HAU CHI,Scaffolder,975,IN,FDH-57613,Finishing,2025-07-05
D45317,NG AI MENG,Supervisor,1329,VN,FDH-88189,Structural,2024-04-25
D40556,CHEUNG CHI SHING,Concreter,961,CN,FDH-60017,Electrical,2025-10-19
D99960,NG AI MENG,Tower Crane Op,1905,NP,FDH-80109,Finishing,2023-11-02
D33230,FONG YUK NAM,Labourer,936,BD,FDH-94866,Mechanical,2025-01-23
