staff_id,name,date,hours,rate,work_type
G38276,LAM AI MEI,2026-02-05,6.7,2492,Mechanical
G14204,LAU CHI SUM,2026-02-22,11.0,1956,Electrical
G13310,LAM MAN KIU,2026-02-17,7.0,1134,Finishing
G33174,LEUNG WAI YEE,2026-02-06,8.6,1622,Finishing
G85368,MA KIN LEUNG,2026-02-19,9.5,1706,Electrical
G61107,LAU CHI SUM,2026-02-26,11.6,1092,Structural
G55062,FONG YUK NAM,2026-02-11,9.4,1619,Structural
G86829,LAM AI MEI,2026-02-07,7.3,1923,Electrical
G17199,LI MAN KIU,2026-02-23,9.3,1353,Structural
G55883,LEUNG WAI YEE,2026-02-07,6.5,1118,Mechanical
G65266,CHAN WAI CHUNG,2026-02-08,8.4,1999,Structural
G68432,CHAN MAN TAO,2026-02-07,10.9,2379,Structural
G32191,LEUNG WAI YEE,2026-02-26,10.2,2406,Structural
G82853,WONG KAM CHU,2026-02-27,7.7,1273,Mechanical
G76208,CHAN WAI KIN,2026-02-07,10.7,1709,Finishing
G61965,LEUNG WAI YEE,2026-02-09,6.3,1603,Finishing
G51432,LAM KIN YIP,2026-02-25,11.2,1646,Electrical
G77029,LAM MAN KIU,2026-02-03,7.1,2351,Finishing
G53262,CHEN KONG,2026-02-21,7.4,1626,Finishing
G77403,WONG CHI SUM,2026-02-01,9.8,1333,Structural
G34562,LI MAN KIU,2026-02-24,7.8,844,Mechanical
G12133,IP YUK CHAN,2026-02-21,10.5,2039,Mechanical
G87281,LEUNG MAN CHU,2026-02-04,8.6,1286,Mechanical
G11570,CHEN AI MEI,2026-02-21,9.4,1309,Mechanical
G72777,NG AI MENG,2026-02-22,6.8,2039,Mechanical
G51986,NG HAU CHI,2026-02-07,9.7,2441,Structural
G98249,LAU LOK CHI,2026-02-23,9.5,1628,Structural
G45359,CHAN HANG HEI,2026-02-14,11.5,2402,Electrical
G78017,LAU LOK CHI,2026-02-01,8.3,888,Mechanical
G53061,CHEN KONG,2026-02-11,8.6,915,Finishing
G71042,CHEN KONG,2026-02-17,8.7,1982,Electrical
G88679,MA KIN LEUNG,2026-02-18,8.9,1964,Finishing
G15802,MA KIN LEUNG,2026-02-10,10.5,1091,Structural
G21554,LI HAU WAN,2026-02-01,9.0,1149,Structural
G70766,CHEN MAN SHUN,2026-02-24,7.8,1706,Mechanical
G59396,CHEN AI MEI,2026-02-17,9.9,1959,Mechanical
G66023,MA AI NGOR,2026-02-27,7.6,1378,Electrical
G51955,CHAN WAI CHUNG,2026-02-10,9.4,1358,Finishing
G43026,POON WAI YEE,2026-02-20,8.7,892,Finishing
G33277,LEE TAK WAH,2026-02-14,6.6,1649,Mechanical
G45165,HO YUK CHING,2026-02-13,10.6,2316,Electrical
G50964,LI MAN TAO,2026-02-25,12.0,1117,Structural
G97868,CHEUNG CHI SHING,2026-02-17,10.0,1083,Electrical
G63208,MA KIN LEUNG,2026-02-18,11.2,1302,Mechanical
G46644,LEE TAK WAH,2026-02-12,6.5,2371,Electrical
G10213,CHEUNG KONG,2026-02-11,10.6,849,Electrical
G21293,LEUNG WAI YEE,2026-02-24,10.9,1649,Structural
G62020,NG AI MENG,2026-02-01,7.1,1059,Finishing
G80452,POON SIU HUNG,2026-02-11,11.3,1911,Mechanical
G75090,WONG CHI SUM,2026-02-17,6.4,2016,Finishing
G58724,MA AI NGOR,2026-02-22,10.4,1721,Finishing
G59474,NG WAI CHUNG,2026-02-10,8.7,2524,Mechanical
G16100,WONG CHI SUM,2026-02-18,10.9,911,Mechanical
G38884,CHAN WAI CHUNG,2026-02-19,10.9,2451,Mechanical
G10402,LAU CHI SUM,2026-02-04,6.2,1099,Structural
G56348,POON SIU HUNG,2026-02-13,11.8,1149,Finishing
G66038,MA AI NGOR,2026-02-22,8.4,2014,Structural
G39517,CHAN HANG HEI,2026-02-14,9.5,1334,Electrical
G83500,MA KIN LEUNG,2026-02-21,9.0,1052,Finishing
G87801,NG AI MENG,2026-02-10,10.1,1924,Mechanical
G38533,LAU CHI SUM,2026-02-12,9.9,895,Mechanical
G62888,CHEUNG KONG,2026-02-15,10.0,2023,Mechanical
G37660,NG WAI CHUNG,2026-02-27,10.6,1096,Finishing
G99197,LI HAU WAN,2026-02-01,10.7,867,Finishing
G97139,POON WAI YEE,2026-02-21,6.9,849,Electrical
G34586,CHEUNG KONG,2026-02-03,8.8,1637,Mechanical
G18879,LEUNG WAI YEE,2026-02-11,6.7,1977,Mechanical
G81754,IP KIN YIP,2026-02-25,8.8,1716,Structural
G62000,LI MAN TAO,2026-02-27,9.5,1624,Finishing
G71194,WONG KAM CHU,2026-02-03,10.5,1338,Electrical
G53481,LI YUK CHING,2026-02-03,11.9,1953,Structural
G97397,IP YUK CHAN,2026-02-21,8.8,2474,Structural
G74526,CHEUNG AI NGOR,2026-02-10,7.9,1339,Finishing
G85360,CHEUNG CHI SHING,2026-02-19,9.6,1679,Mechanical
G42779,POON MAN TAO,2026-02-07,6.7,1351,Finishing
G92662,CHAN HANG HEI,2026-02-28,8.5,1280,Structural
G39311,WONG CHI SUM,2026-02-06,9.0,1071,Electrical
G62526,KWOK SIU HUNG,2026-02-23,8.7,1921,Finishing
G60363,HO WAI CHAN,2026-02-22,7.2,1932,Electrical
G80016,WONG AI MEI,2026-02-27,8.1,1724,Finishing
G94485,CHAN WAI CHUNG,2026-02-20,8.7,2471,Structural
G11810,WONG AI MEI,2026-02-16,6.7,896,Electrical
G61328,NG AI MENG,2026-02-28,10.3,1592,Mechanical
G64892,CHAN HANG HEI,2026-02-18,6.5,1673,Mechanical
G68579,LAU CHI SUM,2026-02-04,8.2,1898,Structural
G26643,LAU CHI SUM,2026-02-20,6.2,1109,Finishing
G67744,LAM KIN YIP,2026-02-19,10.0,1121,Mechanical
G87585,IP WAI SUM,2026-02-19,9.8,883,Structural
G42404,WONG CHI SUM,2026-02-13,7.6,1943,Electrical
G64916,POON MAN TAO,2026-02-18,6.1,1149,Structural
G41870,MA HAU CHI,2026-02-01,10.5,1995,Mechanical
G28216,CHAN HANG HEI,2026-02-28,7.5,1985,Structural
G36713,MA HAU CHI,2026-02-18,6.2,848,Mechanical
G90218,CHEUNG AI NGOR,2026-02-16,6.7,897,Electrical
G40536,LI MAN KIU,2026-02-08,6.0,898,Mechanical
G66677,POON MAN TAO,2026-02-04,6.7,1992,Structural
G51006,LI MAN TAO,2026-02-25,7.3,1268,Structural
G67427,LAU KONG,2026-02-22,11.4,1130,Mechanical
G70876,LI YUK CHING,2026-02-05,8.9,1093,Finishing
G86799,NG AI MENG,2026-02-13,8.6,1322,Finishing
G68540,LAU CHI SUM,2026-02-05,6.6,1283,Finishing
G59007,WONG KAM CHU,2026-02-20,11.0,1127,Finishing
G37443,FONG AI SUM,2026-02-04,7.4,1309,Structural
G45707,WONG HAU CHI,2026-02-10,8.8,913,Finishing
G39370,LEE TAK WAH,2026-02-08,9.9,1954,Finishing
G52582,LEUNG MAN CHU,2026-02-16,8.7,2053,Structural
G37637,LEUNG MAN CHU,2026-02-04,11.9,1314,Electrical
G75059,LAM KIN YIP,2026-02-19,9.0,1102,Mechanical
G57510,NG HAU CHI,2026-02-26,8.8,899,Electrical
G71017,WONG KAM CHU,2026-02-23,11.1,887,Finishing
G71823,MA HAU CHI,2026-02-11,9.6,2322,Structural
G69009,FONG HANG HEI,2026-02-01,10.9,1956,Structural
G43601,FONG YUK NAM,2026-02-26,8.2,2064,Finishing
G36740,MA HAU CHI,2026-02-24,9.0,1111,Electrical
G71385,FONG HANG HEI,2026-02-04,8.7,2389,Electrical
G87039,CHAN WAI KIN,2026-02-22,8.4,2433,Structural
G68208,HO WAI CHAN,2026-02-21,9.1,1310,Structural
G66344,CHEN KONG,2026-02-23,9.6,1577,Electrical
G74910,NG WAI CHUNG,2026-02-15,8.3,916,Electrical
G46249,FONG HANG HEI,2026-02-19,11.6,1056,Mechanical
G25764,CHAN WAI CHUNG,2026-02-11,6.4,1703,Finishing
G22666,CHEUNG KONG,2026-02-14,9.5,2365,Electrical
G21347,CHAN WAI KIN,2026-02-19,6.6,914,Structural
G80598,FONG HANG HEI,2026-02-18,9.7,1099,Mechanical
G45661,LEUNG WAI YEE,2026-02-03,6.5,1640,Structural
G16737,LI MAN TAO,2026-02-20,9.7,1334,Mechanical
G28187,LAU KONG,2026-02-07,6.1,1288,Finishing
G74882,CHAN MAN TAO,2026-02-16,7.1,1983,Structural
G15578,NG HAU CHI,2026-02-17,9.5,1706,Electrical
G50524,LAU CHI SUM,2026-02-28,6.4,1106,Structural
G17919,WONG CHI SUM,2026-02-10,10.1,1621,Electrical
G97048,CHAN WAI KIN,2026-02-15,7.1,901,Mechanical
G38586,LAU LOK CHI,2026-02-16,8.8,1323,Mechanical
G67629,IP KIN YIP,2026-02-13,9.5,1649,Electrical
G11439,NG HAU CHI,2026-02-08,9.6,1683,Structural
G44441,HO YUK CHING,2026-02-20,8.8,1299,Finishing
G22591,WONG HAU CHI,2026-02-18,8.9,2521,Finishing
G50397,LI HAU WAN,2026-02-25,9.1,1271,Structural
G36690,LI MAN TAO,2026-02-24,10.6,2379,Electrical
G53826,CHAN WAI KIN,2026-02-15,6.7,1682,Mechanical
G52935,HO WAI CHAN,2026-02-13,10.1,1992,Electrical
G15399,KWOK AI MENG,2026-02-12,12.0,1695,Structural
G89698,CHEN MAN SHUN,2026-02-16,11.4,1700,Mechanical
G77954,IP YUK CHAN,2026-02-13,11.7,1643,Mechanical
G17341,MA HAU CHI,2026-02-09,8.7,1071,Structural
G11318,CHAN WAI KIN,2026-02-06,8.7,2435,Electrical
G43827,MA AI NGOR,2026-02-09,9.9,1955,Mechanical
G21044,NG AI MENG,2026-02-23,6.6,903,Mechanical
G46159,HO MAN SHUN,2026-02-22,7.7,2345,Finishing
G97256,IP KIN YIP,2026-02-27,8.0,1063,Structural
G79903,FONG YUK NAM,2026-02-02,6.4,2363,Electrical
G24927,IP YUK CHAN,2026-02-06,8.6,2342,Finishing
G15767,IP YUK CHAN,2026-02-05,11.2,841,Finishing
G20136,HO WAI CHAN,2026-02-22,9.1,895,Finishing
G13130,KWOK KIN LEUNG,2026-02-17,7.0,1070,Mechanical
G31740,WONG HAU CHI,2026-02-13,8.1,1138,Mechanical
G29368,LAM MAN KIU,2026-02-11,9.6,2039,Structural
G90551,POON WAI YEE,2026-02-06,11.3,852,Structural
G22533,IP KIN YIP,2026-02-24,10.5,899,Finishing
G30636,CHEUNG KONG,2026-02-06,6.1,1622,Mechanical
G47929,CHEUNG KONG,2026-02-16,10.3,842,Structural
G43591,LAU KONG,2026-02-21,7.4,881,Electrical
G61779,POON WAI YEE,2026-02-13,11.6,1325,Structural
G68156,IP YUK CHAN,2026-02-19,7.1,2373,Electrical
G51891,FONG AI SUM,2026-02-26,11.5,1947,Finishing
G35643,NG AI MENG,2026-02-01,8.1,2481,Mechanical
G98851,CHEN KONG,2026-02-09,8.3,1647,Electrical
G51265,CHEN AI MEI,2026-02-17,9.4,2484,Finishing
G71425,WONG HAU CHI,2026-02-07,8.4,904,Finishing
G69695,CHEN MAN SHUN,2026-02-16,11.1,1267,Mechanical
G17136,LEUNG WAI YEE,2026-02-25,11.8,2042,Mechanical
G52535,LEUNG WAI CHAN,2026-02-05,9.8,1368,Finishing
G36634,LI HAU WAN,2026-02-27,11.2,907,Finishing
G42674,LEE TAK WAH,2026-02-28,7.6,1059,Mechanical
G71091,NG AI MENG,2026-02-21,7.9,2314,Electrical
G68152,POON MAN TAO,2026-02-24,9.5,2414,Finishing
G33472,CHEUNG CHI SHING,2026-02-10,10.9,1130,Finishing
G26041,CHEN MAN SHUN,2026-02-17,8.1,1073,Mechanical
G89149,FONG YUK NAM,2026-02-04,11.4,1270,Electrical
G92689,MA KIN LEUNG,2026-02-21,8.1,2409,Structural
G99470,LEUNG WAI YEE,2026-02-16,6.5,900,Structural
G58132,POON SIU HUNG,2026-02-27,7.8,875,Finishing
G60448,FONG HANG HEI,2026-02-14,7.3,2373,Electrical
G44310,CHEUNG CHI SHING,2026-02-16,9.4,1265,Electrical
G42542,LAM MAN KIU,2026-02-01,6.7,1262,Electrical
G45893,MA HAU CHI,2026-02-20,7.7,886,Electrical
G49953,LAM MAN KIU,2026-02-15,11.2,1318,Electrical
G49839,LI MAN TAO,2026-02-11,6.5,1308,Structural
G41789,LI HAU WAN,2026-02-23,11.2,1983,Finishing
G45944,CHEUNG KONG,2026-02-11,10.1,1685,Mechanical
G45432,LAM KIN YIP,2026-02-12,9.5,856,Finishing
G46590,WONG CHI SUM,2026-02-04,7.8,1588,Structural
G47637,LEUNG WAI YEE,2026-02-06,6.7,1274,Electrical
G44063,LI YUK CHING,2026-02-11,9.7,2069,Finishing
G48064,CHEUNG CHI SHING,2026-02-16,6.7,2511,Electrical
G49211,LI HAU WAN,2026-02-03,6.2,1376,Mechanical
G44914,POON MAN TAO,2026-02-16,6.7,1093,Mechanical
G40485,MA HAU CHI,2026-02-15,6.6,2028,Structural
G45755,POON SIU HUNG,2026-02-23,6.9,1584,Mechanical
G43553,IP WAI SUM,2026-02-13,6.6,1904,Mechanical
G45100,NG AI MENG,2026-02-14,11.7,1294,Finishing
G40065,LEE TAK WAH,2026-02-13,10.1,1069,Mechanical
G42889,CHAN WAI CHUNG,2026-02-19,11.1,1687,Electrical
G47912,NG AI MENG,2026-02-02,6.0,1944,Finishing
G43147,LAU CHI SUM,2026-02-08,7.8,2399,Structural
G43539,LAU KONG,2026-02-21,11.7,2019,Structural
G43902,IP WAI SUM,2026-02-08,10.5,1584,Electrical
G48979,LI HAU WAN,2026-02-10,11.3,1261,Electrical
