staff_id,name,role,rate,nationality,fdh_permit,department,join_date
G56058,CHAN WAI CHUNG,Scaffolder,1319,CN,FDH-52312,Electrical,2024-07-17
G79803,LI YUK CHING,Plumber,1137,CN,FDH-96425,Finishing,2023-10-19
G26570,CHEN KONG,Tower Crane Op,2028,MY,,Mechanical,2023-09-28
G40466,WONG CHI SUM,Scaffolder,1290,TH,FDH-48138,Mechanical,2023-09-04
G73245,HO MAN SHUN,Steel Fixer,1255,NP,FDH-70668,Mechanical,2023-06-06
G36767,CHEUNG CHI SHING,Supervisor,1895,BD,,Mechanical,2023-06-18
G92735,CHEUNG CHI SHING,Tower Crane Op,2466,NP,,Structural,2025-10-24
G87412,CHEN AI MEI,Trade Worker,1327,VN,FDH-21308,Mechanical,2024-06-30
G87859,CHAN WAI CHUNG,Trade Worker,1241,NP,FDH-44443,Electrical,2025-10-17
G37622,WONG HAU CHI,Labourer,839,MY,FDH-70126,Electrical,2024-03-11
G44844,LEUNG WAI YEE,Electrician,1791,NP,FDH-85195,Mechanical,2024-01-17
G64864,CHEUNG CHI SHING,Steel Fixer,1400,PK,FDH-85569,Finishing,2023-06-09
G10651,NG AI MENG,Rigger,1270,NP,FDH-73503,Mechanical,2023-05-20
G97805,HO WAI CHAN,Safety Officer,1859,TH,FDH-95346,Mechanical,2023-11-27
G10429,CHEN KONG,Foreman,1696,IN,,Finishing,2025-03-18
G13565,NG HAU CHI,Plumber,1502,TH,FDH-14545,Mechanical,2024-10-15
G45752,CHAN HANG HEI,General Builder,971,VN,FDH-29671,Finishing,2025-02-05
G75296,KWOK SIU HUNG,Skilled Labour,1319,TH,FDH-53143,Electrical,2024-05-15
G46616,LEUNG MAN CHU,Foreman,1629,IN,FDH-56838,Electrical,2023-10-22
G65568,FONG AI SUM,Welder,1692,PH,FDH-29388,Mechanical,2024-11-07
G47123,CHAN HANG HEI,General Builder,1232,IN,FDH-57889,Electrical,2023-05-24
G32515,CHEN MAN SHUN,Plumber,1153,HK,FDH-99605,Electrical,2025-06-22
G24799,HO YUK CHING,Rigger,1330,CN,FDH-24597,Structural,2024-06-24
G10758,IP YUK CHAN,Concreter,967,NP,FDH-90230,Structural,2025-02-09
G54706,LI MAN KIU,Supervisor,1904,BD,FDH-53511,Electrical,2023-06-24
G89030,WONG KAM CHU,Skilled Labour,1122,MY,FDH-25069,Mechanical,2023-11-23
G26364,KWOK SIU HUNG,Rigger,1316,TH,FDH-28206,Mechanical,2025-12-23
G89128,NG AI MENG,Concreter,1333,MY,FDH-64351,Finishing,2024-10-31
G53332,CHEN KONG,Concreter,1513,PK,FDH-51379,Mechanical,2024-01-05
G40756,POON MAN TAO,Supervisor,1505,PK,FDH-20550,Mechanical,2024-05-02
G92636,IP WAI SUM,Concreter,1223,VN,FDH-31119,Finishing,2024-05-03
G65956,IP WAI SUM,Electrician,1530,NP,FDH-49666,Mechanical,2023-08-10
G19454,CHAN WAI KIN,Supervisor,1918,PK,FDH-49199,Structural,2025-04-26
G89628,CHAN HANG HEI,Foreman,2265,CN,FDH-51032,Mechanical,2025-07-31
G36151,LAM AI MEI,Steel Fixer,1631,BD,FDH-52530,Structural,2025-02-07
G53221,LAU KONG,Steel Fixer,1110,CN,FDH-40039,Mechanical,2024-11-21
G50582,WONG KAM CHU,Trade Worker,1307,CN,FDH-48978,Mechanical,2025-04-30
G51078,MA AI NGOR,General Builder,1222,HK,FDH-10420,Mechanical,2024-10-08
G18420,HO WAI CHAN,Electrician,1930,CN,FDH-84847,Structural,2025-02-04
G90121,LEUNG MAN CHU,Trade Worker,1321,BD,FDH-60965,Mechanical,2025-04-16
G75284,WONG CHI SUM,Steel Fixer,1318,TH,FDH-88316,Mechanical,2025-04-03
G73472,LI MAN TAO,Labourer,1101,CN,FDH-72170,Electrical,2025-04-28
G43413,MA KIN LEUNG,Foreman,2105,VN,,Finishing,2024-04-08
G24336,LI MAN TAO,Safety Officer,1384,PH,FDH-13958,Finishing,2024-05-20
G12230,LAU KONG,Rigger,1312,CN,FDH-56544,Electrical,2024-05-02
G67811,POON WAI YEE,Scaffolder,1102,CN,,Mechanical,2025-11-22
G34790,HO MAN SHUN,Steel Fixer,1109,PH,FDH-55304,Electrical,2025-07-17
G70294,LEUNG WAI CHAN,Foreman,1752,IN,FDH-29735,Structural,2024-07-05
G82866,KWOK KIN LEUNG,Safety Officer,1591,MY,FDH-88281,Finishing,2024-08-13
G29547,CHEUNG KONG,Foreman,2014,TH,FDH-14811,Finishing,2024-10-15
G42074,NG AI MENG,Scaffolder,1398,IN,FDH-11634,Electrical,2025-04-19
G67334,CHEUNG CHI SHING,Foreman,1929,IN,FDH-25743,Finishing,2023-07-02
G75045,IP WAI SUM,Labourer,784,TH,FDH-35999,Structural,2023-07-29
G43909,HO MAN SHUN,Steel Fixer,1164,HK,FDH-55644,Structural,2024-11-28
G23817,CHEUNG AI NGOR,Trade Worker,958,BD,FDH-84262,Finishing,2023-10-02
G57624,POON WAI YEE,Tower Crane Op,2135,HK,FDH-27323,Finishing,2024-04-15
G44180,POON WAI YEE,Trade Worker,1280,PK,FDH-44026,Finishing,2025-04-06
G41960,FONG HANG HEI,Labourer,1016,IN,FDH-74991,Finishing,2025-04-27
G79626,HO WAI CHAN,Plumber,1337,HK,FDH-84533,Mechanical,2026-01-05
G49704,CHAN WAI CHUNG,Rigger,1332,HK,,Finishing,2023-11-24
G41277,POON WAI YEE,Rigger,1349,HK,,Electrical,2025-02-04
G11609,FONG HANG HEI,Welder,1343,BD,FDH-89782,Finishing,2024-11-15
G95054,FONG HANG HEI,Crane Operator,1727,VN,FDH-10421,Finishing,2024-02-17
G26010,HO WAI CHAN,Tower Crane Op,1929,NP,FDH-74128,Structural,2024-06-29
G24071,HO YUK CHING,Labourer,995,PH,FDH-56175,Finishing,2025-12-29
G98102,LI MAN TAO,Supervisor,1947,MY,,Mechanical,2025-08-29
G92423,POON SIU HUNG,Labourer,1053,BD,,Finishing,2024-10-16
G32005,IP YUK CHAN,General Builder,961,PK,,Electrical,2025-01-17
G30492,LAM KIN YIP,Concreter,1417,NP,FDH-62137,Finishing,2023-09-24
G99687,FONG YUK NAM,Tower Crane Op,1938,TH,,Mechanical,2024-11-24
G74208,CHEN AI MEI,Concreter,1171,TH,FDH-59156,Finishing,2024-10-11
G64395,MA HAU CHI,Trade Worker,1123,CN,FDH-67445,Electrical,2023-06-15
G65926,FONG YUK NAM,Crane Operator,2125,MY,FDH-62487,Finishing,2023-07-06
G19780,CHAN MAN TAO,Electrician,1785,TH,FDH-45342,Structural,2025-01-05
G81623,LAM KIN YIP,Foreman,1803,IN,FDH-54622,Finishing,2025-11-27
G26560,CHEUNG AI NGOR,Tower Crane Op,1969,HK,FDH-83865,Electrical,2023-06-29
G11677,CHEN AI MEI,Tower Crane Op,2503,NP,FDH-17486,Electrical,2023-08-23
G67782,HO WAI CHAN,Safety Officer,1561,CN,FDH-32670,Finishing,2024-12-25
G63909,LEUNG MAN CHU,Scaffolder,1389,BD,FDH-10887,Mechanical,2023-12-27
G28720,POON WAI YEE,Skilled Labour,1318,HK,,Finishing,2024-05-17
G37037,KWOK SIU HUNG,Steel Fixer,1224,PK,,Mechanical,2024-10-18
G58480,LAM MAN KIU,Rigger,1195,TH,,Structural,2025-04-10
G17634,CHEN AI MEI,Tower Crane Op,2196,PH,FDH-29340,Mechanical,2023-09-06
G21628,CHEN MAN SHUN,Trade Worker,1295,IN,FDH-58305,Finishing,2025-02-19
G66606,LI YUK CHING,Tower Crane Op,2212,PK,FDH-81331,Finishing,2024-04-22
G97150,CHAN MAN TAO,Supervisor,1660,HK,FDH-28367,Mechanical,2025-11-16
G23174,POON WAI YEE,Scaffolder,1095,VN,FDH-61152,Finishing,2023-09-17
G60185,CHAN WAI CHUNG,Tower Crane Op,2513,PK,FDH-94207,Finishing,2025-03-15
G68490,CHEUNG AI NGOR,Safety Officer,1799,BD,FDH-63077,Structural,2025-10-28
G50620,NG AI MENG,Electrician,1386,IN,FDH-63630,Mechanical,2023-12-08
G87034,NG WAI CHUNG,Skilled Labour,1331,TH,,Finishing,2025-03-13
G95219,IP KIN YIP,Plumber,1630,IN,FDH-71826,Structural,2025-01-31
G22495,WONG KAM CHU,Concreter,1353,PH,FDH-48766,Mechanical,2025-11-06
G33681,IP YUK CHAN,Labourer,808,PK,FDH-28390,Mechanical,2025-11-13
G57953,CHAN HANG HEI,Tower Crane Op,1880,HK,FDH-60238,Electrical,2025-11-28
G18124,LAM AI MEI,Supervisor,1983,PH,FDH-19356,Structural,2025-08-19
G22564,LI HAU WAN,Welder,1625,PK,FDH-62718,Finishing,2024-01-25
G95678,NG AI MENG,Concreter,1555,NP,FDH-66178,Electrical,2023-07-08
G73091,NG AI MENG,Crane Operator,1743,NP,FDH-77677,Structural,2025-01-02
G56187,HO YUK CHING,Foreman,2089,PK,FDH-89545,Electrical,2025-07-04
G42737,FONG HANG HEI,Steel Fixer,1426,NP,FDH-90111,Structural,2025-01-08
G62141,MA HAU CHI,Supervisor,1583,NP,FDH-57206,Mechanical,2023-10-14
G60639,IP YUK CHAN,General Builder,1026,MY,FDH-15980,Structural,2023-07-29
G82211,NG AI MENG,Rigger,1470,VN,FDH-61945,Structural,2025-05-28
G48129,POON SIU HUNG,Concreter,1158,BD,,Electrical,2024-04-21
G27317,LAU KONG,Crane Operator,1954,CN,,Structural,2025-11-15
G78455,LEUNG WAI CHAN,Plumber,1158,IN,FDH-89224,Mechanical,2023-10-30
G37199,KWOK SIU HUNG,Labourer,935,CN,FDH-43015,Electrical,2023-10-16
G52761,POON SIU HUNG,Scaffolder,1084,VN,FDH-42521,Mechanical,2025-09-11
G87615,WONG KAM CHU,Plumber,1111,PH,FDH-38072,Finishing,2025-07-17
G29617,CHEN MAN SHUN,Crane Operator,2316,TH,FDH-88441,Structural,2024-01-12
G14669,LEUNG WAI YEE,Skilled Labour,1417,HK,FDH-17329,Electrical,2025-05-14
G15259,LI MAN TAO,Skilled Labour,1171,PH,FDH-31215,Electrical,2024-05-14
G28956,HO WAI CHAN,Welder,1117,BD,,Finishing,2023-11-01
G34500,NG AI MENG,General Builder,1224,NP,,Structural,2025-01-15
G27266,FONG HANG HEI,Trade Worker,1307,HK,FDH-36955,Mechanical,2025-04-26
G34170,POON SIU HUNG,Supervisor,1842,CN,FDH-74441,Structural,2025-11-28
G63703,CHAN HANG HEI,Plumber,1618,BD,FDH-78302,Electrical,2024-03-19
G87631,LAM MAN KIU,Supervisor,1663,CN,,Structural,2025-09-23
G60763,HO YUK CHING,Scaffolder,1402,HK,FDH-31762,Mechanical,2025-01-29
G80515,KWOK SIU HUNG,Skilled Labour,1011,PK,FDH-64819,Structural,2024-04-18
G56306,LAM MAN KIU,Skilled Labour,1390,CN,FDH-28965,Finishing,2024-09-23
G51570,LAU LOK CHI,Trade Worker,1236,CN,FDH-24203,Structural,2023-11-24
G75944,CHEN MAN SHUN,Plumber,1220,PK,FDH-47997,Structural,2025-02-26
G39756,LAM KIN YIP,Tower Crane Op,1963,VN,,Structural,2025-09-13
G79053,LAU CHI SUM,Rigger,1478,NP,FDH-32563,Finishing,2025-03-06
G46849,HO MAN SHUN,Supervisor,1877,VN,FDH-28362,Electrical,2024-08-26
G71036,LAM MAN KIU,Labourer,1077,NP,FDH-34574,Structural,2023-06-13
G59454,CHEUNG AI NGOR,Safety Officer,1357,HK,FDH-14725,Structural,2024-10-09
G16715,CHEUNG KONG,Trade Worker,1308,IN,FDH-42721,Structural,2025-06-24
G97220,NG HAU CHI,Welder,1573,BD,FDH-37553,Mechanical,2025-10-24
G59340,HO YUK CHING,Foreman,1957,BD,FDH-21680,Finishing,2024-10-18
G32423,LEE TAK WAH,Supervisor,1818,VN,FDH-22483,Mechanical,2023-05-31
G54177,MA AI NGOR,Safety Officer,1818,VN,FDH-76071,Electrical,2023-10-16
G94529,LAU CHI SUM,Scaffolder,1238,VN,FDH-78503,Structural,2024-11-03
G34949,HO YUK CHING,Trade Worker,1268,CN,FDH-19646,Mechanical,2024-04-06
G31914,LI MAN TAO,Foreman,1788,VN,FDH-57895,Mechanical,2025-02-10
G13436,HO MAN SHUN,Supervisor,1977,CN,FDH-92554,Structural,2023-07-20
G37189,LEUNG MAN CHU,Welder,1585,PK,FDH-65042,Structural,2025-11-26
G27184,LEE TAK WAH,Safety Officer,1777,IN,FDH-86130,Finishing,2024-04-02
G98447,CHAN WAI KIN,General Builder,1128,NP,FDH-52514,Finishing,2024-07-30
G25296,WONG AI MEI,Electrician,1633,HK,FDH-23457,Structural,2025-07-30
G80270,IP KIN YIP,Skilled Labour,1247,HK,FDH-54243,Electrical,2024-10-11
G91405,HO WAI CHAN,Scaffolder,1482,CN,FDH-60102,Mechanical,2024-08-12
G45763,FONG HANG HEI,Plumber,1402,PH,FDH-40802,Electrical,2023-08-25
G49996,LEUNG WAI YEE,Foreman,1780,TH,FDH-49406,Mechanical,2025-08-11
G54847,MA HAU CHI,Supervisor,2121,HK,FDH-53037,Structural,2024-03-15
G35741,CHEUNG KONG,Supervisor,1759,BD,FDH-79015,Finishing,2024-07-29
G32206,LAU CHI SUM,Electrician,1254,HK,,Mechanical,2024-05-17
G78152,LI MAN TAO,Plumber,1385,VN,FDH-30023,Finishing,2024-06-09
G52919,CHEN KONG,Rigger,1779,PH,FDH-91932,Mechanical,2024-11-13
G21039,NG HAU CHI,Rigger,1758,HK,FDH-94735,Structural,2025-09-09
G64460,HO YUK CHING,Scaffolder,1081,PH,FDH-22141,Finishing,2025-05-28
G97788,LAM AI MEI,Foreman,1987,BD,FDH-87696,Electrical,2025-04-30
G62254,MA HAU CHI,Rigger,1660,NP,FDH-55897,Structural,2024-12-09
G56084,FONG YUK NAM,Tower Crane Op,2617,VN,FDH-48110,Structural,2025-04-02
G44022,KWOK SIU HUNG,Scaffolder,1289,TH,FDH-31930,Electrical,2023-07-13
G42501,HO MAN SHUN,Crane Operator,2086,PK,FDH-25560,Structural,2024-07-16
G63641,CHEUNG KONG,Safety Officer,1711,PK,,Finishing,2024-12-10
G92644,CHAN WAI KIN,Welder,1397,CN,FDH-55333,Structural,2024-04-20
G78876,LEUNG MAN CHU,Plumber,1488,NP,FDH-83170,Finishing,2024-02-09
G57363,MA HAU CHI,Supervisor,1899,TH,FDH-40369,Finishing,2025-06-25
G30812,HO WAI CHAN,Skilled Labour,1013,IN,FDH-25722,Electrical,2025-07-05
G61197,HO WAI CHAN,Trade Worker,1293,MY,FDH-42298,Finishing,2024-10-01
G62595,LAU KONG,Concreter,1119,PK,FDH-34440,Electrical,2023-11-20
G28555,CHEN KONG,Tower Crane Op,2033,BD,,Mechanical,2025-03-12
G51093,LAM MAN KIU,Labourer,987,TH,FDH-42071,Mechanical,2026-01-04
G61837,LI YUK CHING,Steel Fixer,1163,IN,FDH-53582,Mechanical,2024-12-11
G28105,LAU LOK CHI,Tower Crane Op,1824,PK,FDH-27467,Mechanical,2024-12-15
G93452,LAM KIN YIP,Trade Worker,948,VN,,Structural,2023-08-13
G48852,HO YUK CHING,Steel Fixer,1534,HK,,Mechanical,2025-07-17
G75337,FONG YUK NAM,Scaffolder,1308,MY,,Finishing,2023-05-19
G62741,IP KIN YIP,Concreter,1461,PK,FDH-72779,Structural,2025-12-15
G10977,HO MAN SHUN,Steel Fixer,1425,BD,FDH-40818,Electrical,2024-04-29
G68104,LAU CHI SUM,Foreman,1973,PK,FDH-40731,Structural,2024-04-18
G88849,KWOK KIN LEUNG,Rigger,1446,IN,,Structural,2025-03-20
G35119,CHEUNG AI NGOR,Supervisor,1988,MY,FDH-98277,Mechanical,2025-06-06
G35020,LAU KONG,Safety Officer,1977,PK,FDH-90183,Electrical,2025-08-10
G34406,IP WAI SUM,Plumber,1323,VN,FDH-67408,Finishing,2023-08-16
G63825,LI MAN KIU,Labourer,888,PH,FDH-92540,Mechanical,2025-05-02
G10065,CHEUNG AI NGOR,Electrician,1504,BD,,Mechanical,2023-09-08
G26314,NG HAU CHI,Safety Officer,2046,PK,FDH-11176,Structural,2025-07-17
G80855,LI MAN TAO,Concreter,1387,PK,FDH-91724,Finishing,2024-01-24
G43733,FONG AI SUM,Plumber,1395,TH,FDH-89820,Structural,2024-06-04
G15628,HO MAN SHUN,Foreman,1756,PK,FDH-89229,Mechanical,2025-07-22
G75098,LEUNG MAN CHU,Rigger,1469,NP,FDH-54177,Mechanical,2024-11-12
G71688,LEUNG MAN CHU,Electrician,1859,CN,FDH-62763,Electrical,2023-11-04
G48416,WONG HAU CHI,Skilled Labour,1031,TH,FDH-76010,Finishing,2024-07-10
G55530,LI MAN TAO,Skilled Labour,1079,IN,FDH-23870,Electrical,2025-08-12
G85649,IP KIN YIP,Rigger,1315,BD,FDH-99613,Finishing,2023-05-27
G80232,CHEN AI MEI,Steel Fixer,1405,CN,,Structural,2025-09-08
G99966,FONG YUK NAM,General Builder,1003,CN,FDH-18018,Mechanical,2025-12-06
G15421,IP WAI SUM,General Builder,1058,IN,FDH-91621,Electrical,2023-06-13
G39085,LI MAN KIU,Welder,1186,HK,FDH-85277,Finishing,2024-02-13
G12587,HO YUK CHING,Labourer,911,MY,FDH-71125,Electrical,2023-10-28
G77236,KWOK SIU HUNG,Safety Officer,1859,NP,FDH-75199,Structural,2024-03-22
G16690,FONG AI SUM,Labourer,927,NP,FDH-59503,Electrical,2025-03-02
G64996,IP KIN YIP,Tower Crane Op,2501,PH,FDH-33693,Mechanical,2025-07-28
G33025,HO WAI CHAN,Crane Operator,2431,PH,FDH-45077,Electrical,2025-02-05
G45358,NG AI MENG,Concreter,1171,BD,FDH-21807,Structural,2024-05-21
G82948,WONG HAU CHI,Welder,1296,PK,,Mechanical,2024-11-24
G18527,WONG CHI SUM,Trade Worker,1291,HK,FDH-49830,Mechanical,2024-12-05
G18367,CHEUNG AI NGOR,Electrician,1435,NP,,Mechanical,2024-06-12
G24381,NG HAU CHI,Scaffolder,1493,MY,FDH-94678,Electrical,2024-04-20
G85979,WONG CHI SUM,Foreman,1618,PH,FDH-16880,Mechanical,2024-03-02
G11543,IP WAI SUM,Supervisor,1673,CN,,Electrical,2023-09-22
G14574,CHAN WAI CHUNG,Tower Crane Op,1857,PK,FDH-81194,Electrical,2025-08-09
G82671,NG AI MENG,Rigger,1346,TH,,Electrical,2024-11-05
G65169,WONG HAU CHI,Labourer,1038,VN,FDH-86329,Structural,2023-07-18
G31943,MA HAU CHI,Labourer,807,PK,FDH-51758,Structural,2023-09-29
G88080,CHAN MAN TAO,Safety Officer,1499,HK,,Mechanical,2023-10-23
G52024,LAU LOK CHI,Electrician,1669,CN,FDH-79669,Mechanical,2023-07-29
G98132,CHAN WAI KIN,Supervisor,1800,NP,,Electrical,2024-01-15
G74304,CHAN WAI KIN,Plumber,1567,IN,FDH-43070,Finishing,2025-12-17
G60239,CHEN AI MEI,Labourer,867,TH,FDH-53158,Finishing,2024-12-19
G93792,MA HAU CHI,Supervisor,1778,NP,FDH-18364,Finishing,2025-04-05
G97758,FONG AI SUM,Trade Worker,1022,TH,FDH-77808,Mechanical,2025-03-17
G22307,FONG HANG HEI,Steel Fixer,1658,BD,FDH-96131,Electrical,2023-06-09
G40967,POON SIU HUNG,Plumber,1276,NP,,Mechanical,2023-06-01
G24598,LI MAN TAO,Rigger,1723,HK,FDH-23272,Mechanical,2025-07-02
G73209,POON SIU HUNG,Tower Crane Op,2136,IN,FDH-21476,Electrical,2024-09-09
G94949,LAM KIN YIP,Steel Fixer,1349,TH,,Mechanical,2024-06-13
G64182,LAM KIN YIP,Supervisor,1660,TH,FDH-43416,Structural,2024-09-23
G24573,NG WAI CHUNG,Concreter,1275,NP,FDH-57316,Mechanical,2024-07-23
G78213,WONG AI MEI,Skilled Labour,1370,IN,FDH-61009,Finishing,2023-07-08
G52592,CHAN WAI CHUNG,Tower Crane Op,2023,PK,FDH-62523,Finishing,2023-11-01
G37122,POON SIU HUNG,Electrician,1874,CN,,Mechanical,2024-04-24
G65203,CHAN HANG HEI,General Builder,1025,MY,,Mechanical,2023-12-15
G87820,CHEN MAN SHUN,Foreman,1710,PK,FDH-25705,Mechanical,2025-10-23
G28643,NG WAI CHUNG,Foreman,1596,VN,FDH-65497,Structural,2024-01-10
G89871,CHEUNG KONG,Electrician,1712,PH,FDH-52645,Finishing,2023-08-01
G69298,LAM MAN KIU,Welder,1331,IN,FDH-67843,Finishing,2023-08-04
G17600,FONG YUK NAM,Skilled Labour,1241,PK,FDH-44125,Mechanical,2025-03-24
G52389,POON SIU HUNG,Welder,1366,VN,FDH-22177,Structural,2024-07-13
G16339,LI YUK CHING,Welder,1203,TH,FDH-61107,Mechanical,2024-10-04
G77919,LAM MAN KIU,Concreter,1140,NP,FDH-82394,Finishing,2025-07-09
G80998,LEE TAK WAH,Plumber,1671,IN,FDH-43300,Mechanical,2023-07-05
G11424,CHEN MAN SHUN,Trade Worker,946,BD,FDH-46496,Mechanical,2025-12-02
G85555,HO WAI CHAN,Crane Operator,1978,IN,FDH-92607,Finishing,2023-10-28
G19021,FONG YUK NAM,Tower Crane Op,2377,TH,FDH-43874,Electrical,2023-05-23
G80674,KWOK AI MENG,Rigger,1473,NP,FDH-22388,Finishing,2023-09-08
G33173,POON MAN TAO,Electrician,1819,TH,FDH-44538,Mechanical,2024-09-13
G85864,FONG HANG HEI,Tower Crane Op,2547,PK,FDH-44848,Mechanical,2024-03-11
G58603,WONG HAU CHI,Trade Worker,1101,PH,,Structural,2024-05-01
G47757,CHEN MAN SHUN,Foreman,2081,HK,FDH-25419,Structural,2025-09-19
G82998,POON SIU HUNG,Supervisor,1907,IN,FDH-38156,Finishing,2025-09-14
G80799,WONG HAU CHI,Foreman,2149,PK,,Structural,2023-06-26
G80455,HO MAN SHUN,Steel Fixer,1332,PH,FDH-21452,Mechanical,2024-03-21
G61984,CHAN HANG HEI,Foreman,1681,VN,FDH-18892,Electrical,2025-02-01
G37355,FONG HANG HEI,Scaffolder,1074,MY,FDH-51541,Structural,2024-10-06
G95408,IP WAI SUM,General Builder,1077,VN,FDH-25664,Mechanical,2024-07-09
G55153,CHAN WAI CHUNG,Scaffolder,1156,VN,,Structural,2024-09-02
G18883,IP YUK CHAN,Labourer,1093,BD,FDH-52991,Finishing,2025-10-03
G42683,POON SIU HUNG,Welder,1165,VN,FDH-73893,Mechanical,2023-09-19
G34078,LEUNG MAN CHU,Rigger,1600,IN,FDH-67008,Mechanical,2025-03-26
G25111,NG HAU CHI,Crane Operator,2013,PH,FDH-49541,Mechanical,2025-12-20
G54397,MA KIN LEUNG,Trade Worker,1153,VN,FDH-16642,Structural,2025-07-20
G12866,NG AI MENG,Rigger,1645,BD,FDH-99719,Mechanical,2023-11-21
